dates,GDP,U
1948.02,0.85443952,-0.14374997
1948.03,0.012100904,-0.067461753
1948.04,-0.08505847,-0.024506939
1949.01,-2.0765859,0.78511467
1949.02,-1.4918681,1.9614029
1949.03,-0.14913989,2.7710244
1949.04,-1.8979037,3.0139793
1950.01,3.083149,2.4236008
1950.02,1.9107717,1.5665557
1950.03,2.7765855,0.60951056
1950.04,1.9026406,0.18579877
1951.01,1.167432,-0.57124632
1951.02,1.6873319,-0.9949581
1951.03,1.2963391,-0.95200319
1951.04,-0.44755648,-0.77571498
1952.01,0.06291173,-1.0994268
1952.02,-1.1471396,-1.2231386
1952.03,-0.009357296,-0.98018374
1952.04,1.1481001,-1.4038955
1953.01,0.82770438,-1.5609406
1953.02,0.03288078,-1.7179857
1953.03,-1.3706104,-1.5750309
1953.04,-1.7156662,-0.63207597
1954.01,-2.303469,0.91087894
1954.02,-1.304693,1.4205005
1954.03,0.28600948,1.5634554
1954.04,0.55036838,0.90641018
1955.01,1.2122501,0.2826984
1955.02,0.18374658,-0.074346688
1955.03,0.41807062,-0.39805847
1955.04,-0.03286842,-0.28843696
1956.01,-1.1035648,-0.51214875
1956.02,-0.45162995,-0.36919383
1956.03,-0.83361332,-0.45957232
1956.04,0.19720425,-0.48328411
1957.01,-0.084857195,-0.70699589
1957.02,-0.96379005,-0.56404098
1957.03,-0.32135438,-0.45441947
1957.04,-2.4677588,0.22186875
1958.01,-2.9562422,1.5648237
1958.02,-0.36946025,2.6077786
1958.03,1.4309363,2.5507334
1958.04,1.4343136,1.560355
1959.01,0.32809417,1.0033098
1959.02,0.98113268,0.24626473
1959.03,-1.36504,0.38921964
1959.04,-0.05642737,0.69884115
1960.01,0.7955664,0.20846267
1960.02,-1.1933952,0.28475088
1960.03,-0.80988582,0.5610391
1960.04,-1.766635,1.2706607
1961.01,0.12863916,1.7802822
1961.02,0.33102735,1.9565704
1961.03,0.51421288,1.6995253
1961.04,1.3182743,1.1091469
1962.01,0.39626963,0.51876838
1962.02,0.12934488,0.39505659
1962.03,0.019510429,0.4046782
1962.04,-1.0714316,0.34763302
1963.01,0.43860607,0.55725463
1963.02,0.46916927,0.50020944
1963.03,0.82638975,0.24316436
1963.04,-0.18977574,0.28611927
1964.01,1.3044893,0.16240748
1964.02,-0.05250177,-0.127971
1964.03,0.09655568,-0.35168279
1964.04,-0.47857767,-0.40872788
1965.01,1.2378514,-0.49910636
1965.02,0.53205975,-0.75615145
1965.03,0.6737672,-1.0798632
1965.04,1.3688663,-1.3702417
1966.01,1.0537944,-1.6272868
1966.02,-0.6459081,-1.684332
1966.03,0.11363711,-1.7747104
1966.04,-0.4156681,-1.8650889
1967.01,-0.3421983,-1.7554674
1967.02,-0.30987748,-1.7791791
1967.03,0.52499642,-1.8362242
1967.04,-0.34353085,-1.759936
1968.01,0.2480518,-1.9503145
1968.02,0.78139638,-2.1406929
1968.03,-0.13145004,-2.1977381
1968.04,-1.0023026,-2.3547832
1969.01,0.49016932,-2.3784949
1969.02,-0.76936412,-2.3688734
1969.03,-0.35359497,-2.2592518
