date,real_gdp_growth,psei,bsp_rrp,unem
3/31/99,0.5,2028.21,11.875,9.1
6/30/99,3.1,2486.96,9.125,11.9
9/30/99,3.6,2096.2,9,8.4
12/31/99,4.9,2142.97,8.75,9.5
3/31/00,4.1,1681.72,8.75,9.5
6/30/00,4.4,1533.99,10,13.9
9/30/00,5.5,1434.49,11,11.2
12/31/00,3.7,1494.5,13.5,10.1
3/31/01,2.5,1446.4,10,11.2
6/30/01,3,1410.07,9,13.2
9/30/01,2.7,1126.63,9,10.1
12/31/01,3.3,1168.08,7.75,9.8
3/31/02,3.2,1403.62,7,10.3
6/30/02,4,1156.35,7,13.8
9/30/02,2.7,1129.34,7,11.2
12/31/02,4.6,1018.41,7,10.1
3/31/03,4.8,1039.67,7,13.9
6/30/03,4.8,1222.8,7,11.1
9/30/03,5.3,1297.42,6.75,10.1
12/31/03,5,1442.37,6.75,10.5
3/31/04,7.3,1424.33,6.75,12.1
6/30/04,7.7,1579.4,6.75,12.3
9/30/04,5.8,1761.57,6.75,10.1
12/31/04,6.1,1822.83,6.75,11
3/31/05,4.4,1954.69,6.75,13.9
6/30/05,5.1,1924.23,7,9.2
9/30/05,4.4,1942.07,7.25,7.7
12/31/05,5.1,2096.04,7.5,7.4
3/31/06,5.4,2195.95,7.5,8.2
6/30/06,5.3,2178.79,7.5,8.23
9/30/06,4.9,2556.71,7.5,8.2
12/31/06,5.4,2982.54,7.5,7.35
3/31/07,6.3,3203.55,7.5,7.8
6/30/07,7.6,3660.86,7.5,7.35
9/30/07,6.3,3572.9,6,7.8
12/31/07,6.3,3621.6,5.25,6.3
3/31/08,4,2984.67,5,7.4
6/30/08,4.3,2459.98,5.25,8
9/30/08,5.3,2569.65,6,7.4
12/31/08,3.1,1872.85,5.5,6.8
3/31/09,1,1986.22,4.75,7.7
6/30/09,1.6,2437.99,4.25,7.5
9/30/09,0.5,2800.82,4,7.6
12/31/09,1.4,3052.68,4,7.15
3/31/10,8.4,3161.8,4,7.3
6/30/10,8.9,3372.71,4,8
9/30/10,7.3,4100.07,4,7
12/31/10,6.1,4201.14,4,7.15
3/31/11,4.6,4055.14,4.25,7.3
6/30/11,3.2,4291.21,4.5,7.2
9/30/11,3.1,3999.65,4.5,7.15
12/31/11,3.8,4371.96,4.5,6.4
3/31/12,6.2,5107.73,4,7.2
6/30/12,6.1,5246.41,4,6.85
9/30/12,7,5346.1,3.75,7
12/31/12,7.3,5812.73,3.5,6.8
3/31/13,7.5,6847.47,3.5,7.15
6/30/13,7.9,6465.28,3.5,7.5
9/30/13,6.8,6191.8,3.5,7.3
12/31/13,6.1,5889.83,3.5,6.35
3/31/14,5.6,6428.71,3.5,7.5
6/30/14,6.8,6844.31,3.5,7
9/30/14,5.7,7283.07,4,6.7
12/31/14,6.7,7230.57,4,6
3/31/15,5.1,7940.49,4,6.6
6/30/15,6,7564.5,4,6.4
9/30/15,6.4,6893.98,4,6.5
12/31/15,6.7,6952.08,4,5.6
3/31/16,6.7,7262.3,4,5.7
6/30/16,7,7796.25,3,6.1
9/30/16,7.1,7629.73,3,5.4
12/31/16,6.7,6840.64,3,4.7
3/31/17,6.4,7311.72,3,6.6
6/30/17,6.6,7843.16,3,5.8
9/30/17,7.2,8171.43,3,5.6
12/31/17,6.6,8558.42,3,5
3/31/18,6.5,7979.83,3,5.3
6/30/18,6.2,7193.68,3.5,5.5
9/30/18,6,7276.82,4.5,5.4
12/31/18,6.3,7466.02,4.75,5.1
