obs,LREERS,RIRR,LRGDPPCR,OPENY,FBYA,NFAOFPY,LPR2COMM5,LPRCOMM5,LPR2COMM3,LPRCOMM3,LPR2GOLD,LPRGOLD,SDUMC1,SDUMC2,SDUMC3,DUMRER1,DUMRER2,DUMFBYA,DUMNFAOFPY
1970Q1,4.586157247,-0.54106881,0.670305329,44.82142857,-5.616883117,7.405612737,-0.733760783,-0.850845638,-0.733760783,-0.850845638,0.45540152,0.338316665,0.75,-0.25,-0.25,0,0,0,0
1970Q2,4.578278491,-0.050905971,0.662506862,46.09845817,-1.940987712,6.918067317,-0.728679111,-0.849214142,-0.728679111,-0.849214142,0.464924889,0.344389858,-0.25,0.75,-0.25,0,0,0,0
1970Q3,4.590259573,-0.706971215,0.631961277,47.88031894,-1.547327702,6.28601899,-0.747291948,-0.875189128,-0.747291948,-0.875189128,0.456073498,0.328176317,-0.25,-0.25,0.75,0,0,0,0
1970Q4,4.588329169,0.906082189,0.636652159,46.77563815,-3.493058666,5.117555049,-0.702969306,-0.845723236,-0.702969306,-0.845723236,0.513900967,0.371147038,-0.25,-0.25,-0.25,0,0,0,0
1971Q1,4.593940704,1.541757127,0.674869486,47.48371818,-6.512729426,4.397149784,-0.689982621,-0.825100177,-0.689982621,-0.825100177,0.528789884,0.393672328,0.75,-0.25,-0.25,0,0,0,0
1971Q2,4.60156369,0.627967644,0.651213951,47.32548906,-4.90868404,3.8599686,-0.658713526,-0.791701935,-0.658713526,-0.791701935,0.560633764,0.427645355,-0.25,0.75,-0.25,0,0,0,0
1971Q3,4.590766956,1.090712476,0.643371497,46.94303401,-5.091465535,3.106996454,-0.675049304,-0.795317007,-0.675049304,-0.795317007,0.547835013,0.427567309,-0.25,-0.25,0.75,0,0,0,0
1971Q4,4.562332272,0.301115994,0.623747658,47.36202121,-7.566033912,2.865345983,-0.653080447,-0.749234466,-0.653080447,-0.749234466,0.577921744,0.481767725,-0.25,-0.25,-0.25,0,0,0,0
1972Q1,4.487737089,0.116502284,0.624733526,45.70642562,-4.689853933,3.329912537,-0.591033768,-0.664769071,-0.591033768,-0.664769071,0.645636014,0.571900711,0.75,-0.25,-0.25,0,0,0,0
1972Q2,4.50306363,-0.023787961,0.61678916,47.40255529,-8.76840262,4.626914876,-0.406907815,-0.481384064,-0.406907815,-0.481384064,0.851416441,0.776940191,-0.25,0.75,-0.25,0,0,0,0
1972Q3,4.474529848,-0.551968113,0.592525395,47.25547355,-2.381690752,5.449772759,-0.307101919,-0.384094369,-0.307101919,-0.384094369,0.965281199,0.888288749,-0.25,-0.25,0.75,0,0,0,0
1972Q4,4.501327037,-1.297619876,0.569084007,48.90300571,-3.670372331,5.526363302,-0.372331034,-0.448468197,-0.372331034,-0.448468197,0.895485392,0.819348229,-0.25,-0.25,-0.25,0,0,0,0
